,Unnamed: 0,Country Name,Country Code,Year,Value,kpi
0,46,Arab World,ARB,2014,2855.84087762,GDP
1,100,Caribbean small states,CSS,2013,66.8034413553,GDP
2,125,Central Europe and the Baltics,CEB,2014,1457.83519526,GDP
3,180,East Asia & Pacific (all income levels),EAS,2014,21421.7782098,GDP
4,235,East Asia & Pacific (developing only),EAP,2014,12571.2830223,GDP
5,290,Euro area,EMU,2014,13402.747138,GDP
6,345,Europe & Central Asia (all income levels),ECS,2014,23113.3076483,GDP
7,373,Europe & Central Asia (developing only),ECA,2014,1811.04297236,GDP
8,428,European Union,EUU,2014,18460.6456253,GDP
9,453,Fragile and conflict affected situations,FCS,2014,720.13960048,GDP
10,508,Heavily indebted poor countries (HIPC),HPC,2014,632.554956458,GDP
11,563,High income,HIC,2014,52906.6988759,GDP
12,603,High income: nonOECD,NOC,2014,6259.77732591,GDP
13,658,High income: OECD,OEC,2014,46673.8186359,GDP
14,713,Latin America & Caribbean (all income levels),LCN,2014,6298.36524526,GDP
15,768,Latin America & Caribbean (developing only),LAC,2014,4763.93515106,GDP
16,803,Least developed countries: UN classification,LDC,2014,867.876746052,GDP
17,858,Low & middle income,LMY,2014,24996.7788172,GDP
18,893,Low income,LIC,2014,397.409489024,GDP
19,948,Lower middle income,LMC,2014,5780.29308061,GDP
20,995,Middle East & North Africa (all income levels),MEA,2014,3491.39375909,GDP
21,1017,Middle East & North Africa (developing only),MNA,2014,1522.60588616,GDP
22,1072,Middle income,MIC,2014,24597.3204776,GDP
23,1127,North America,NAC,2014,19211.4080958,GDP
24,1182,OECD members,OED,2014,48755.3193319,GDP
25,1217,Other small states,OSS,2014,97.5436639355,GDP
26,1261,Pacific island small states,PSS,2014,8.24948201114,GDP
27,1316,Small states,SST,2014,174.034474388,GDP
28,1371,South Asia,SAS,2014,2607.87062703,GDP
29,1426,Sub-Saharan Africa (all income levels),SSF,2014,1728.32225538,GDP
30,1481,Sub-Saharan Africa (developing only),SSA,2014,1712.42354688,GDP
31,1536,Upper middle income,UMC,2014,18808.3317304,GDP
32,1591,World,WLD,2014,77868.7679417,GDP
